record_id,buoy_id,Name,Country,Site Type,latitude,longitude,Date,Tz,Peak Direction,Tpeak,Wave Height,Temperature,Spread
1,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,11/12/2020 00:00,7.9,253,13.3,1.94,15.7,18
2,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,12/12/2020 00:00,4.6,246,10,1.15,15.25,35
3,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,13/12/2020 00:00,6,352,9.5,2.67,14.8,28
4,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,14/12/2020 00:00,5.8,255,15.4,1.82,14.7,31
5,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,15/12/2020 00:00,6,278,13.3,1.86,14.65,23
6,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,16/12/2020 00:00,5.2,332,7.1,1.86,14.55,34
7,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,17/12/2020 00:00 ,5.4,340,10,1.43,14.45,53
8,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,18/12/2020 00:00,5.2,307,10.5,1.39,14.25,57
9,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,19/12/2020 00:00,6.6,279,9.5,1.33,14.25,49
10,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,20/12/2020 00:00,4.9,286,9.5,1.7,14.2,41
11,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,21/12/2020 00:00,5,229,7.4,2.06,14.7,28
12,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,22/12/2020 00:00,6,248,8.3,2.47,14.7,23
13,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,23/12/2020 00:00,6.7,276,11.1,2.52,14.5,26
14,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,24/12/2020 00:00,6.3,271,10,2.15,14.45,26
15,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,25/12/2020 00:00,6,302,10,1.98,14.35,41
16,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,26/12/2020 00:00,9.4,316,15.4,7.32,14.15,28
17,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,27/12/2020 00:00,9.5,1,13.3,6.17,14.15,23
18,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,28/12/2020 00:00,8,8,12.5,3.36,14.05,23
19,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,11/12/2020 00:00,2.48,NaN,NaN,9.1,NaN,NaN
20,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,12/12/2020 00:00,1.92,NaN,NaN,5.6,NaN,NaN
21,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,13/12/2020 00:00,2.62,NaN,NaN,7.3,NaN,NaN
22,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,14/12/2020 00:00,2.56,NaN,NaN,6.3,NaN,NaN
23,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,15/12/2020 00:00,5.06,NaN,NaN,7.7,NaN,NaN
24,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,16/12/2020 00:00,5.72,NaN,NaN,8.3,NaN,NaN
25,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,17/12/2020 00:00,3.78,NaN,NaN,6.9,NaN,NaN
26,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,18/12/2020 00:00,4.68,NaN,NaN,7.3,NaN,NaN
27,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,19/12/2020 00:00,1.98,NaN,NaN,6.9,NaN,NaN
28,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,20/12/2020 00:00,2.18,NaN,NaN,7.7,NaN,NaN
29,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,21/12/2020 00:00,2.66,NaN,NaN,5.9,NaN,NaN
30,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,22/12/2020 00:00,1.74,NaN,NaN,4.9,NaN,NaN
31,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,23/12/2020 00:00,2.31,NaN,NaN,5.2,NaN,NaN
32,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,24/12/2020 00:00,2.51,NaN,NaN,5.3,NaN,NaN
33,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,25/12/2020 00:00,2.09,NaN,NaN,5.3,NaN,NaN
34,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,26/12/2020 00:00,1.24,NaN,NaN,6.1,NaN,NaN
35,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,27/12/2020 00:00,1.08,NaN,NaN,3.8,NaN,NaN
36,14,SW Isles of Scilly WaveNet Site,England,Ocean,49.82,-6.54,28/12/2020 00:00,1.5,NaN,NaN,4.7,NaN,NaN